X = 106, Y = 106, Z = 162
X = 107, Y = 108, Z = 160
X = 106, Y = 105, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 105, Z = 159
X = 107, Y = 107, Z = 161
X = 105, Y = 107, Z = 162
X = 107, Y = 105, Z = 162
X = 107, Y = 106, Z = 162
X = 107, Y = 106, Z = 161
X = 106, Y = 104, Z = 160
X = 107, Y = 106, Z = 162
X = 107, Y = 106, Z = 162
X = 107, Y = 107, Z = 162
X = 106, Y = 105, Z = 160
X = 105, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 105, Z = 161
X = 106, Y = 106, Z = 161
X = 108, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 108, Y = 106, Z = 162
X = 106, Y = 105, Z = 162
X = 107, Y = 106, Z = 161
X = 106, Y = 106, Z = 162
X = 107, Y = 105, Z = 162
X = 107, Y = 107, Z = 162
X = 106, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 106, Y = 106, Z = 162
X = 108, Y = 105, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 160
X = 106, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 108, Z = 161
X = 106, Y = 105, Z = 161
X = 106, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 107, Y = 104, Z = 162
X = 107, Y = 106, Z = 161
X = 106, Y = 105, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 107, Z = 161
X = 106, Y = 105, Z = 162
X = 107, Y = 107, Z = 160
X = 107, Y = 106, Z = 162
X = 106, Y = 107, Z = 161
X = 106, Y = 107, Z = 160
X = 106, Y = 106, Z = 162
X = 107, Y = 106, Z = 161
X = 106, Y = 105, Z = 162
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 105, Z = 162
X = 106, Y = 106, Z = 162
X = 106, Y = 107, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 107, Z = 161
X = 108, Y = 105, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 162
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 162
X = 106, Y = 106, Z = 162
X = 107, Y = 106, Z = 161
X = 105, Y = 105, Z = 161
X = 107, Y = 106, Z = 160
X = 106, Y = 105, Z = 161
X = 106, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 107, Z = 162
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 162
X = 106, Y = 107, Z = 161
X = 107, Y = 106, Z = 160
X = 107, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 105, Z = 162
X = 107, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 106, Y = 105, Z = 162
X = 107, Y = 106, Z = 160
X = 107, Y = 107, Z = 161
X = 106, Y = 107, Z = 161
X = 107, Y = 105, Z = 162
X = 107, Y = 107, Z = 161
X = 107, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 107, Y = 105, Z = 161
X = 107, Y = 106, Z = 160
X = 107, Y = 106, Z = 161
X = 106, Y = 107, Z = 161
X = 105, Y = 107, Z = 160
X = 106, Y = 106, Z = 161
X = 107, Y = 107, Z = 161
X = 106, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 162
X = 105, Y = 106, Z = 161
X = 107, Y = 106, Z = 162
X = 107, Y = 107, Z = 162
X = 107, Y = 106, Z = 161
X = 106, Y = 107, Z = 159
X = 107, Y = 106, Z = 163
X = 107, Y = 107, Z = 160
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 107, Z = 161
X = 106, Y = 107, Z = 161
X = 107, Y = 105, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 105, Z = 161
X = 107, Y = 107, Z = 161
X = 108, Y = 106, Z = 161
X = 105, Y = 106, Z = 161
X = 105, Y = 106, Z = 161
X = 106, Y = 107, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 108, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 107, Z = 162
X = 108, Y = 107, Z = 161
X = 105, Y = 106, Z = 162
X = 106, Y = 105, Z = 162
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 107, Z = 161
X = 107, Y = 107, Z = 162
X = 106, Y = 107, Z = 161
X = 107, Y = 106, Z = 162
X = 107, Y = 106, Z = 161
X = 107, Y = 107, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 107, Z = 161
X = 107, Y = 105, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 107, Z = 161
X = 106, Y = 106, Z = 162
X = 107, Y = 107, Z = 162
X = 106, Y = 106, Z = 162
X = 106, Y = 105, Z = 161
X = 107, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 106, Y = 106, Z = 162
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 107, Z = 162
X = 106, Y = 107, Z = 161
X = 106, Y = 106, Z = 161
X = 106, Y = 106, Z = 156
X = 107, Y = 38, Z = 165
X = 100, Y = 81, Z = 157
X = 108, Y = 126, Z = 157
X = 101, Y = 118, Z = 159
X = 114, Y = 124, Z = 165
X = 104, Y = 108, Z = 162
X = 106, Y = 112, Z = 162
X = 113, Y = 128, Z = 161
X = 112, Y = 126, Z = 169
X = 113, Y = 139, Z = 173
X = 115, Y = 146, Z = 168
X = 117, Y = 152, Z = 176
X = 121, Y = 170, Z = 176
X = 122, Y = 181, Z = 179
X = 119, Y = 140, Z = 179
X = 143, Y = 255, Z = 253
X = 212, Y = 161, Z = 163
X = 110, Y = 169, Z = 187
X = 120, Y = 115, Z = 166
X = 114, Y = 129, Z = 169
X = 115, Y = 130, Z = 170
X = 112, Y = 134, Z = 167
X = 107, Y = 121, Z = 161
X = 103, Y = 116, Z = 161
X = 101, Y = 109, Z = 159
X = 102, Y = 93, Z = 156
X = 106, Y = 74, Z = 153
X = 105, Y = 77, Z = 153
X = 106, Y = 51, Z = 160
X = 104, Y = 124, Z = 167
X = 107, Y = 97, Z = 155
X = 106, Y = 108, Z = 162
X = 107, Y = 103, Z = 160
X = 107, Y = 104, Z = 161
X = 106, Y = 106, Z = 160
X = 108, Y = 105, Z = 160
X = 108, Y = 105, Z = 163
X = 106, Y = 105, Z = 162
X = 107, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 108, Y = 106, Z = 160
X = 107, Y = 105, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 160
X = 108, Y = 105, Z = 161
X = 109, Y = 105, Z = 161
X = 107, Y = 107, Z = 160
X = 107, Y = 105, Z = 161
X = 108, Y = 104, Z = 160
X = 107, Y = 105, Z = 160
X = 108, Y = 106, Z = 162
X = 108, Y = 105, Z = 161
X = 108, Y = 105, Z = 162
X = 108, Y = 105, Z = 161
X = 107, Y = 106, Z = 161
X = 108, Y = 104, Z = 161
X = 107, Y = 105, Z = 162
X = 108, Y = 105, Z = 161
X = 107, Y = 105, Z = 161
X = 107, Y = 105, Z = 161
X = 108, Y = 105, Z = 161
X = 107, Y = 106, Z = 162
X = 108, Y = 104, Z = 160
X = 108, Y = 106, Z = 161
X = 106, Y = 104, Z = 163
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 160
X = 107, Y = 105, Z = 160
X = 107, Y = 104, Z = 162
X = 108, Y = 106, Z = 161
X = 108, Y = 106, Z = 161
X = 109, Y = 106, Z = 161
X = 107, Y = 105, Z = 161
X = 108, Y = 106, Z = 160
X = 106, Y = 104, Z = 161
X = 106, Y = 105, Z = 161
X = 108, Y = 104, Z = 162
X = 107, Y = 105, Z = 160
X = 108, Y = 105, Z = 161
X = 107, Y = 105, Z = 161
X = 107, Y = 106, Z = 162
X = 106, Y = 105, Z = 161
X = 107, Y = 105, Z = 162
X = 107, Y = 105, Z = 160
X = 107, Y = 105, Z = 161
X = 107, Y = 105, Z = 160
X = 107, Y = 106, Z = 162
X = 107, Y = 104, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 106, Z = 161
X = 107, Y = 105, Z = 162
X = 107, Y = 106, Z = 161
X = 107, Y = 105, Z = 162
X = 107, Y = 105, Z = 160
X = 106, Y = 106, Z = 162
X = 108, Y = 105, Z = 162
X = 107, Y = 104, Z = 162
X = 108, Y = 105, Z = 161
X = 107, Y = 105, Z = 161
X = 107, Y = 106, Z = 162
X = 107, Y = 105, Z = 161
X = 108, Y = 105, Z = 161
X = 107, Y = 106, Z = 161
X = 108, Y = 105, Z = 161
X = 106, Y = 105, Z = 160
X = 107, Y = 106, Z = 161
X = 108, Y = 105, Z = 164
X = 108, Y = 105, Z = 161
X = 107, Y = 105, Z = 160
X = 107, Y = 105, Z = 160
X = 109, Y = 105, Z = 161
X = 107, Y = 107, Z = 161
X = 107, Y = 105, Z = 160
X = 107, Y = 105, Z = 162
X = 107, Y = 105, Z = 161
X = 108, Y = 105, Z = 161
X = 106, Y = 105, Z = 161
X = 106, Y = 105, Z = 160
X = 108, Y = 106, Z = 161
X = 106, Y = 106, Z = 161
X = 107, Y = 106, Z = 162
X = 108, Y = 105, Z = 160
X = 107, Y = 105, Z = 161
X = 107, Y = 105, Z = 160
X = 107, Y = 105, Z = 160
X = 107, Y = 106, Z = 161
